Refdate,Link_Apto,Endereco,Bairro,Valor,Informacoes
16/10/2023,https://loft.com.br/imovel/apartamento-rua-silva-teles-pari-sao-paulo-3-quartos-69m2/1dasle7,"['Apartamento à venda em Pari com 69 m²', ' 3 quartos', ' 1 suíte', ' 2 vagasCondomínio Living Elegance', ' Rua Silva Teles', ' Pari', ' São Paulo-SP']",Pari,R$ 827.999,"['Andar alto4º andar em diante', '69 m²R$ 11.999 /m²', '3 quartos1 suíte', '2 vagas', '2 Banheiros', 'Varanda', 'Portaria24h', 'Mobiliado']"
16/10/2023,https://loft.com.br/imovel/apartamento-praca-julio-prestes-campos-elisios-sao-paulo-2-quartos-86m2/lxlwa,"['Apartamento à venda em Campos Elísios com 86 m²', ' 2 quartosCondomínio Edificio Miri', ' Praça Júlio Prestes', ' Campos Elísios', ' São Paulo-SP']",CamposElísios,R$ 360.000,"['Andar alto4º andar em diante', '86 m²R$ 4.186 /m²', '2 quartossem suíte', '2 Banheiros', 'Portaria24h', 'Metrô próximoestação a 716m', 'Vagas', 'Mobiliado']"
16/10/2023,https://loft.com.br/imovel/apartamento-rua-marcos-fernandes-cursino-sao-paulo-4-quartos-300m2/ecl6za,"['Apartamento à venda em Cursino com 300 m²', ' 4 quartos', ' 4 suítes', ' 4 vagasCondomínio Edificio La Residence', ' Rua Marcos Fernandes', ' Cursino', ' São Paulo-SP']",Cursino,R$ 2.300.000,"['Andar baixoAté 3º andar', '300 m²R$ 7.666 /m²', '4 quartos4 suítes', '4 vagas', '6 Banheiros', 'Varanda', 'Portaria24h', 'Mobiliado']"
16/10/2023,https://loft.com.br/imovel/apartamento-avenida-raimundo-pereira-de-magalhaes-jaragua-sao-paulo-2-quartos-42m2/jvbnls,"['Apartamento à venda em Jaraguá com 42 m²', ' 2 quartosCondomínio Vila Austria', ' Avenida Raimundo Pereira de Magalhães', ' Jaraguá', ' São Paulo-SP']",Jaraguá,R$ 210.000,"['Andar baixoAté 3º andar', '42 m²R$ 5.000 /m²', '2 quartossem suíte', '1 Banheiro', 'Portaria24h', 'Vagas', 'Mobiliado']"
16/10/2023,https://loft.com.br/imovel/apartamento-rua-tucuna-perdizes-sao-paulo-3-quartos-147m2/ss84g0,"['Apartamento à venda em Perdizes com 147 m²', ' 3 quartos', ' 1 suíte', ' 2 vagasCondomínio Edificio Solar Dos Buzios', ' Rua Tucuna', ' Perdizes', ' São Paulo-SP']",Perdizes,R$ 1.190.000,"['Andar alto4º andar em diante', '147 m²R$ 8.095 /m²', '3 quartos1 suíte', '2 vagas', '4 Banheiros', 'Sol da manhãna sala', 'Varanda', 'Portaria24h', 'Mobiliado']"
16/10/2023,https://loft.com.br/imovel/apartamento-rua-filipinas-alto-da-lapa-sao-paulo-2-quartos-55m2/1s75v70,"['Apartamento à venda em Alto da Lapa com 55 m²', ' 2 quartos', ' 1 vagaCondomínio Edificio Principe Charles', ' Rua Filipinas', ' Alto da Lapa', ' São Paulo-SP']",AltodaLapa,R$ 445.000,"['Andar baixoAté 3º andar', '55 m²R$ 8.090 /m²', '2 quartossem suíte', '1 vaga', '1 Banheiro', 'Mobiliado']"
16/10/2023,https://loft.com.br/imovel/apartamento-avenida-doutor-guilherme-dumont-vilares-vila-andrade-sao-paulo-3-quartos-156m2/xfhw6v,"['Apartamento à venda em Vila Andrade com 156 m²', ' 3 quartos', ' 3 suítes', ' 3 vagasCondomínio Edificio Portal Braskel', ' Avenida Doutor Guilherme Dumont Vilares', ' Vila Andrade', ' São Paulo-SP']",VilaAndrade,R$ 680.000,"['Andar baixoAté 3º andar', '156 m²R$ 4.358 /m²', '3 quartos3 suítes', '3 vagas', '5 Banheiros', 'Sol da manhãna sala', 'Varanda', 'Portariaparcial', 'Mobiliado']"
16/10/2023,https://loft.com.br/imovel/apartamento-rua-itatupa-vila-andrade-sao-paulo-3-quartos-108m2/u6l9oc,"['Apartamento à venda em Vila Andrade com 108 m²', ' 3 quartos', ' 1 suíte', ' 2 vagasCondomínio Residencial Fine', ' Rua Itatupa', ' Vila Andrade', ' São Paulo-SP']",VilaAndrade,R$ 987.000,"['Andar alto4º andar em diante', '108 m²R$ 9.138 /m²', '3 quartos1 suíte', '2 vagas', '4 Banheiros', 'Sol o dia todona sala', 'Varandagourmet', 'Portaria24h', 'Mobiliado']"
16/10/2023,https://loft.com.br/imovel/apartamento-rua-casa-forte-jardim-sao-paulo-sao-paulo-4-quartos-210m2/1q32zl8,"['Apartamento à venda em Jardim São Paulo com 210 m²', ' 4 quartos', ' 3 suítes', ' 6 vagasCondomínio Cond Ed Maison Larissa', ' Rua Casa Forte', ' Jardim São Paulo', ' São Paulo-SP']",JardimSãoPaulo,R$ 1.810.000,"['Andar alto4º andar em diante', '210 m²R$ 8.619 /m²', '4 quartos3 suítes', '6 vagas', '5 Banheiros', 'Metrô próximoestação a 769m', 'Mobiliado']"
16/10/2023,https://loft.com.br/imovel/apartamento-avenida-senador-jose-ermirio-de-moraes-tremembe-sao-paulo-1-quarto-80m2/earhzs,"['Apartamento à venda em Tremembé com 80 m²', ' 1 quarto', ' 1 suíte', ' 2 vagasCondomínio Edifício Florais da Serra', ' Avenida Senador José Ermírio de Moraes', ' Tremembé', ' São Paulo-SP']",Tremembé,R$ 439.900,"['Andar alto4º andar em diante', '80 m²R$ 5.498 /m²', '1 quarto1 suíte', '2 vagas', '1 Banheiro', 'Varanda', 'Mobiliado']"
